product_code,product_name,product_family,product_category,status,candidate_code,candidate_name,candidate_score,candidate_has_recipe_flag,candidate_bom_count,erp_insumo_id,erp_insumo_nombre,erp_preparation_recipe_exists,search_terms
700818123170,SET CUCHARA MEDIDORA,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
404-0-0017,3 MANGAS PASTELERAS REUTILIZABLES,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
404-0-0018,3 MANGAS PASTELERAS REUTILIZABLES,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
10063,ADEREZO AGRIDULCE,Otros postres,Otros postres,MISSING_IN_POINT,,,,False,,,,False,
03-3120,BASE GIRATORA PARA DECORAR 30.4CM DIAMETRO,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
P10X15,Bolsa celofán 10x15,Plásticos,PLÁSTICOS,MISSING_IN_POINT,,,,False,,,,False,
418-612,Boquilla para petalo,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
700818121519,BROCHA SILICON,WILTON,Accesorios de repostería,MISSING_IN_POINT,,,,False,,,,False,
803,CAJA BOLLO 1 PZ P7VENTA,Accesorios,Bollo,MISSING_IN_POINT,47131803,TOALLAS DESINFECTANTES MEMBERS MARK,39.02,False,0,,,False,803
802,CAJA BOLLO 2 PZ P/VENTA,Accesorios,Bollo,MISSING_IN_POINT,,,,False,,,,False,
801,CAJA BOLLO 4 PZ P/VENTA,Accesorios,Bollo,POSSIBLE_MATCH_REQUIRES_REVIEW,00801,ESCOBA MIXTA DE 6 HILOS,36.36,False,0,,,False,801
800,CAJA BOLLO 6 PZ P/VENTA,Accesorios,Bollo,POSSIBLE_MATCH_REQUIRES_REVIEW,FPF03800,TOALLA INTERDOBLADA SANITAS,36.36,False,0,,,False,800
0240,CAJA CH PARA VENTA,Accesorios,Industrias lec,MISSING_IN_POINT,,,,False,,,,False,
0239,CAJA G PARA VENTA,Accesorios,Industrias lec,MISSING_IN_POINT,,,,False,,,,False,
