codigo,producto_excel,categoria_excel,excel_qty,excel_venta,canon_qty,canon_venta,canon_qty_diff,canon_venta_diff,point_qty,point_venta,point_qty_diff,point_venta_diff,canon_producto,point_producto
0100,Pastel de Fresas Con Crema Mediano,Pastel Mediano,526,257642,530,158011,4,-99631,526,257642,0,0,Pastel Fresas Con Crema - Mediano,Pastel de Fresas Con Crema Mediano
0145,Vaso Fresas con Crema Chico,Vasos Preparados Grande,750,67500,0,0,-750,-67500,750,67500,0,0,,Vaso Fresas con Crema Chico
0148,Vaso Fresas con Crema Grande,Vasos Preparados Grande,503,57845,0,0,-503,-57845,503,57845,0,0,,Vaso Fresas con Crema Grande
0147,Vaso Fresas con Crema Mediano,Vasos Preparados Grande,437,45885,0,0,-437,-45885,437,45885,0,0,,Vaso Fresas con Crema Mediano
0109,Pastel de 3 Pecados Chico,Pastel Chico,277,94120.5,291,61950,14,-32170.5,277,94120.5,0,0.0,Pastel 3 Pecados - Chico,Pastel de 3 Pecados Chico
0169,Pirotecnia Alegría G,Alegría,576,20160,0,0,-576,-20160,576,20160,0,0,,Pirotecnia Alegría G
0170,Pirotecnia Alegría Ch,Alegría,739,18475,0,0,-739,-18475,739,18475,0,0,,Pirotecnia Alegría Ch
CHCAKEINDLOTUS,Cheesecake Lotus Individual,Individual,102,13770,0,0,-102,-13770,102,13770,0,0,,Cheesecake Lotus Individual
0101,Pastel de Fresas Con Crema Chico,Pastel Chico,267,89445,585,79355,318,-10090,267,89445,0,0,Pastel Fresas Con Crema - Chico,Pastel de Fresas Con Crema Chico
0099,Pastel de Fresas Con Crema Grande,Pastel Grande,61,42700,357,52755,296,10055,61,42700,0,0,Pastel Fresas Con Crema - Grande,Pastel de Fresas Con Crema Grande
0110,Pastel de 3 Pecados R,Rebanada,220,15400,83,5810,-137,-9590,220,15400,0,0,Pastel 3 Pecados - Rebanada,Pastel de 3 Pecados R
0068,Pastel de Zanahoria R,Rebanada,162,10955,67,4465,-95,-6490,162,10955,0,0,Pastel Zanahoria - Rebanada,Pastel de Zanahoria R
212451,,,0,0,26,5980,26,5980,0,0,0,0,Pastel 3 Leches Lotus - Mini,
8941,Pastel Lotus Mini,Pastel Mini,39,8970,13,2990,-26,-5980,39,8970,0,0,Pastel Lotus - Mini,Pastel Lotus Mini
01CHLI01,,,0,0,38,5130,38,5130,0,0,0,0,Cheesecakes Lotus Individual,
0103,Pastel de Fresas Con Crema R,Rebanada,95,6650,22,1540,-73,-5110,95,6650,0,0,Pastel Fresas Con Crema - Rebanada,Pastel de Fresas Con Crema R
CHEESETORTIND,Cheesecakes Tortuga Individual,Individual,94,11750,123,15715,29,3965,94,11750,0,0,Cheesecakes Tortuga Individual,Cheesecakes Tortuga Individual
1250,ESPAGUETI DORADA,Granmark,42,2856,0,0,-42,-2856,42,2856,0,0,,ESPAGUETI DORADA
0313,TE DEL JARDIN,TE,115,2300,3,60,-112,-2240,115,2300,0,0,TE DEL JARDIN,TE DEL JARDIN
0066,Pastel de Zanahoria Chico,Pastel Chico,89,29370,158,27280,69,-2090,89,29370,0,0,Pastel Zanahoria - Chico,Pastel de Zanahoria Chico
013LL,,,0,0,3,2040,3,2040,0,0,0,0,Pastel 3 Leches Lotus - Mediano,
3489,Pastel Lotus Mediano,Pastel Mediano,10,6800,7,4760,-3,-2040,10,6800,0,0,Pastel Lotus - Mediano,Pastel Lotus Mediano
PFCMINI,Pastel Fresas con Crema Mini,Pastel Mini,98,18130,133,16210,35,-1920,98,18130,0,0,Pastel Fresas Con Crema - Mini,Pastel Fresas con Crema Mini
1251,ESPAGUETI ROSA PERLADO,Granmark,23,1564,0,0,-23,-1564,23,1564,0,0,,ESPAGUETI ROSA PERLADO
7186/1,VELA METALICA No. 1 DORADO,Granmark,41,1435,0,0,-41,-1435,41,1435,0,0,,VELA METALICA No. 1 DORADO
CND000944,VELA PLATA,Alegría,22,1430,0,0,-22,-1430,22,1430,0,0,,VELA PLATA
6423,Pastel Lotus Chico,Pastel Chico,9,4005,6,2670,-3,-1335,9,4005,0,0,Pastel Lotus - Chico,Pastel Lotus Chico
COCA450,COCA-COLA 450 ML,Coca-cola,52,1122,0,0,-52,-1122,52,1122,0,0,,COCA-COLA 450 ML
CND000982,VELA BLANCA BASE BRILLOS DORADA,Alegría,19,1102,0,0,-19,-1102,19,1102,0,0,,VELA BLANCA BASE BRILLOS DORADA
7186/2,VELA METALICA No. 2 DORADO,Granmark,27,945,0,0,-27,-945,27,945,0,0,,VELA METALICA No. 2 DORADO
