branch_external_id,branch_name,product_external_id,sku,product_name,category,family,occurrences,first_sale_date,last_sale_date,total_quantity,total_amount,tickets
1,Matriz,361,361,803,BOLLO,,255,2022-01-24,2025-02-13,886.000,5192.69,0
1,Matriz,843,843,03SPOREB,REBANADA,,186,2024-09-24,2025-11-04,294.000,0.00,0
1,Matriz,359,359,801,BOLLO,,180,2022-01-02,2025-08-28,312.000,2357.21,0
4,Payán,360,360,802,BOLLO,,170,2022-01-07,2025-02-26,260.000,1551.31,0
4,Payán,361,361,803,BOLLO,,130,2022-01-25,2025-02-15,216.000,1267.13,0
5,Colosio,843,843,03SPOREB,REBANADA,,117,2024-09-14,2025-10-18,156.000,0.00,0
4,Payán,359,359,801,BOLLO,,114,2022-01-03,2025-02-21,152.000,1255.41,0
1,Matriz,347,347,0314,PILLINES,,111,2022-01-16,2024-08-27,136.000,2344.66,0
1,Matriz,830,830,SOREOM,PAY MEDIANO,,111,2024-09-17,2025-10-22,146.000,0.00,0
3,Las Glorias,361,361,803,BOLLO,,105,2022-01-01,2025-07-10,200.000,1401.77,0
1,Matriz,831,831,SOREOG,PAY GRANDE,,102,2024-10-03,2025-11-05,114.000,0.00,0
5,Colosio,361,361,803,BOLLO,,92,2022-02-12,2025-07-08,166.000,1220.79,0
1,Matriz,358,358,800,BOLLO,,90,2022-01-04,2025-09-18,126.000,1406.67,0
1,Matriz,360,360,802,BOLLO,,86,2022-01-06,2025-02-26,140.000,868.80,0
7,Plaza Nío,843,843,03SPOREB,REBANADA,,77,2024-09-19,2025-10-30,88.000,0.00,0
3,Las Glorias,359,359,801,BOLLO,,76,2022-01-18,2024-11-22,100.000,974.27,0
1,Matriz,848,848,SMANZANAREB,REBANADA,,69,2024-10-11,2025-05-31,180.000,8320.00,0
7,Plaza Nío,361,361,803,BOLLO,,68,2023-03-22,2025-10-20,82.000,625.96,0
5,Colosio,831,831,SOREOG,PAY GRANDE,,66,2024-09-14,2025-09-28,76.000,0.00,0
